postcode,valid,area
B65 9NR,yes,here
B65 9NS,yes,here
B65 9NT,yes,here
B65 9NU,yes,here
B65 9NW,yes,here
B65 9NX,yes,here
B65 9PB,yes,here
B65 9PD,yes,here
B65 9PE,yes,here
B65 9PF,yes,here
B65 9PG,yes,here
B65 9PL,yes,here
B65 9PN,yes,here
B65 9PP,yes,here
B65 9PR,yes,here
B65 9PS,yes,here
B65 9PT,yes,here
B65 9PU,yes,here
B65 9PW,yes,here
B65 9PX,yes,here
B65 9QA,yes,here
B65 9QD,yes,here
B65 9QE,yes,here
B65 9QF,yes,here
B65 9QG,yes,here
B65 9QH,yes,here
B65 9QJ,yes,here
B65 9QL,yes,here
B65 9QN,yes,here
B65 9QP,yes,here
B65 9QQ,yes,here
B65 9QR,yes,here
B65 9QW,yes,here
B65 9RA,yes,here
B65 9RB,yes,here
B65 9RD,yes,here
B65 9RE,yes,here
B65 9RF,yes,here
B65 9RG,yes,here
B65 9RH,yes,here
B65 9RJ,yes,here
B65 9RQ,yes,here
B65 9SD,yes,here
B65 9SE,yes,here
B65 9SF,yes,here
B65 9SG,yes,here
B65 9SH,yes,here
B65 9SJ,yes,here
B65 9SL,yes,here
B65 9SN,yes,here
B65 9SQ,yes,here
B65 9SW,yes,here
B66 1AA,yes,here
B66 1AB,yes,here
B66 1AF,yes,here
B66 1AG,yes,here
B66 1AQ,yes,here
B66 1AR,yes,here
B66 1AT,yes,here
B66 1AX,yes,here
B66 1BA,yes,here
B66 1BB,yes,here
B66 1BD,yes,here
B66 1BF,yes,here
B66 1BG,yes,here
B66 1BH,yes,here
B66 1BL,yes,here
B66 1BQ,yes,here
B66 1BS,yes,here
B66 1BT,yes,here
B66 1BU,yes,here
B66 1BY,yes,here
B66 1BZ,yes,here
B66 1DB,yes,here
B66 1DE,yes,here
B66 1DF,yes,here
B66 1DG,yes,here
B66 1DH,yes,here
B66 1DJ,yes,here
B66 1DL,yes,here
B66 1DN,yes,here
B66 1DP,yes,here
B66 1DR,yes,here
B66 1DS,yes,here
B66 1DT,yes,here
B66 1DU,yes,here
B66 1DX,yes,here
B66 1EA,yes,here
B66 1EE,yes,here
B66 1EG,yes,here
B66 1EH,yes,here
B66 1EL,yes,here
B66 1EQ,yes,here
B66 1EU,yes,here
B66 1EX,yes,here
B66 1EY,yes,here
B66 1EZ,yes,here
B66 1GY,yes,here
B66 1HA,yes,here
B66 1HB,yes,here
B66 1HD,yes,here
B66 1HE,yes,here
B66 1HF,yes,here
B66 1HJ,yes,here
B66 1HN,yes,here
B66 1HR,yes,here
B66 1HU,yes,here
B66 1HX,yes,here
B66 1JA,yes,here
B66 1JE,yes,here
B66 1JF,yes,here
B66 1JG,yes,here
B66 1JQ,yes,here
B66 1LL,yes,here
B66 1LN,yes,here
B66 1LW,yes,here
B66 1LY,yes,here
B66 1NA,yes,here
B66 1ND,yes,here
B66 1NH,yes,here
B66 1NJ,yes,here
B66 1NN,yes,here
B66 1NR,yes,here
B66 1NS,yes,here
B66 1NU,yes,here
B66 1NY,yes,here
B66 1NZ,yes,here
B66 1PE,yes,here
B66 1PT,yes,here
B66 1QG,yes,here
B66 1QJ,yes,here
B66 1QL,yes,here
B66 1QN,yes,here
B66 1QP,yes,here
B66 1QQ,yes,here
B66 1QR,yes,here
B66 1QS,yes,here
B66 1QT,yes,here
B66 1QU,yes,here
B66 1QX,yes,here
B66 1QY,yes,here
B66 1QZ,yes,here
B66 1RA,yes,here
B66 1RB,yes,here
B66 1RD,yes,here
B66 1RE,yes,here
B66 1RF,yes,here
B66 1RJ,yes,here
B66 1RN,yes,here
B66 1RP,yes,here
B66 1RR,yes,here
B66 1RW,yes,here
B66 1TA,yes,here
B66 1TB,yes,here
B66 1TD,yes,here
B66 1TE,yes,here
B66 1TF,yes,here
B66 1TG,yes,here
B66 1TH,yes,here
B66 1TJ,yes,here
B66 1TQ,yes,here
B66 1TT,yes,here
B66 1TU,yes,here
B66 1WG,yes,here
B66 2AA,yes,here
B66 2AF,yes,here
B66 2AJ,yes,here
B66 2AL,yes,here
B66 2AP,yes,here
B66 2AR,yes,here
B66 2AS,yes,here
B66 2AU,yes,here
B66 2AW,yes,here
B66 2AX,yes,here
B66 2AY,yes,here
B66 2AZ,yes,here
B66 2BA,yes,here
B66 2BB,yes,here
B66 2BD,yes,here
B66 2BE,yes,here
B66 2BF,yes,here
B66 2BG,yes,here
B66 2BP,yes,here
B66 2BQ,yes,here
B66 2BS,yes,here
B66 2BT,yes,here
B66 2BU,yes,here
B66 2BX,yes,here
B66 2BY,yes,here
B66 2BZ,yes,here
B66 2DA,yes,here
B66 2DB,yes,here
B66 2DD,yes,here
B66 2DE,yes,here
B66 2DF,yes,here
B66 2DG,yes,here
B66 2DH,yes,here
B66 2DJ,yes,here
B66 2DL,yes,here
B66 2DQ,yes,here
B66 2DR,yes,here
B66 2DT,yes,here
B66 2DU,yes,here
B66 2DW,yes,here
B66 2DZ,yes,here
B66 2EA,yes,here
B66 2EB,yes,here
B66 2EF,yes,here
B66 2EG,yes,here
B66 2EH,yes,here
B66 2EJ,yes,here
B66 2EP,yes,here
B66 2ER,yes,here
B66 2ET,yes,here
B66 2EU,yes,here
B66 2EX,yes,here
B66 2HA,yes,here
B66 2HB,yes,here
B66 2HD,yes,here
B66 2HE,yes,here
B66 2HF,yes,here
B66 2HH,yes,here
B66 2HR,yes,here
B66 2HS,yes,here
B66 2HT,yes,here
B66 2HU,yes,here
B66 2HX,yes,here
B66 2HZ,yes,here
B66 2JE,yes,here
B66 2JH,yes,here
B66 2JL,yes,here
B66 2JN,yes,here
B66 2JP,yes,here
B66 2JR,yes,here
B66 2JS,yes,here
B66 2JT,yes,here
B66 2JW,yes,here
B66 2LF,yes,here
B66 2LL,yes,here
B66 2LP,yes,here
B66 2LQ,yes,here
B66 2LR,yes,here
B66 2LS,yes,here
B66 2ND,yes,here
B66 2NJ,yes,here
B66 2NN,yes,here
B66 2NQ,yes,here
B66 2NT,yes,here
B66 2NU,yes,here
B66 2NW,yes,here
B66 2NX,yes,here
B66 2NY,yes,here
B66 2NZ,yes,here
B66 2PA,yes,here
B66 2PD,yes,here
B66 2PF,yes,here
B66 2PG,yes,here
B66 2PP,yes,here
B66 2PT,yes,here
B66 2PU,yes,here
B66 2QF,yes,here
B66 2QL,yes,here
B66 2QP,yes,here
B66 2QS,yes,here
B66 2QT,yes,here
B66 2QY,yes,here
B66 2QZ,yes,here
B66 2RD,yes,here
B66 2RE,yes,here
B66 2RH,yes,here
B66 2RL,yes,here
B66 2RP,yes,here
B66 2RT,yes,here
B66 2RU,yes,here
B66 2RX,yes,here
B66 2SA,yes,here
B66 2SB,yes,here
B66 2SD,yes,here
B66 2SF,yes,here
B66 2SH,yes,here
B66 2SL,yes,here
B66 2SP,yes,here
B66 2SR,yes,here
B66 2SS,yes,here
B66 2SU,yes,here
B66 2TR,yes,here
B66 2TU,yes,here
B66 2TY,yes,here
B66 2WF,yes,here
B66 3AB,yes,here
B66 3AD,yes,here
B66 3AE,yes,here
B66 3AH,yes,here
B66 3AJ,yes,here
B66 3AP,yes,here
B66 3AR,yes,here
B66 3AS,yes,here
B66 3AU,yes,here
B66 3AX,yes,here
B66 3BA,yes,here
B66 3BB,yes,here
B66 3BD,yes,here
B66 3BE,yes,here
B66 3BF,yes,here
B66 3BG,yes,here
B66 3BH,yes,here
B66 3BL,yes,here
B66 3BN,yes,here
B66 3BP,yes,here
B66 3BQ,yes,here
B66 3BS,yes,here
B66 3BT,yes,here
B66 3BW,yes,here
B66 3BX,yes,here
B66 3BY,yes,here
B66 3BZ,yes,here
B66 3DA,yes,here
B66 3DB,yes,here
B66 3DD,yes,here
B66 3DE,yes,here
B66 3DF,yes,here
B66 3DG,yes,here
B66 3DH,yes,here
B66 3DJ,yes,here
B66 3DL,yes,here
B66 3DN,yes,here
B66 3DR,yes,here
B66 3DT,yes,here
B66 3DU,yes,here
B66 3DX,yes,here
B66 3EB,yes,here
B66 3EH,yes,here
B66 3EJ,yes,here
B66 3EN,yes,here
B66 3EQ,yes,here
B66 3ER,yes,here
B66 3ES,yes,here
B66 3ET,yes,here
B66 3EU,yes,here
B66 3EW,yes,here
B66 3EX,yes,here
B66 3HA,yes,here
B66 3HB,yes,here
B66 3HD,yes,here
B66 3HE,yes,here
B66 3HH,yes,here
B66 3HN,yes,here
B66 3HP,yes,here
B66 3HR,yes,here
B66 3HT,yes,here
B66 3HU,yes,here
B66 3HW,yes,here
B66 3HX,yes,here
B66 3JA,yes,here
B66 3JB,yes,here
B66 3JD,yes,here
B66 3JE,yes,here
B66 3JF,yes,here
B66 3JH,yes,here
B66 3JJ,yes,here
B66 3JN,yes,here
B66 3JP,yes,here
B66 3JQ,yes,here
B66 3JR,yes,here
B66 3JS,yes,here
B66 3JT,yes,here
B66 3JU,yes,here
B66 3JW,yes,here
B66 3JX,yes,here
B66 3JY,yes,here
B66 3JZ,yes,here
B66 3LA,yes,here
B66 3LD,yes,here
B66 3LE,yes,here
B66 3LF,yes,here
B66 3LJ,yes,here
B66 3LN,yes,here
B66 3LW,yes,here
B66 3LX,yes,here
B66 3ND,yes,here
B66 3NE,yes,here
B66 3NH,yes,here
B66 3NJ,yes,here
B66 3NL,yes,here
B66 3NP,yes,here
B66 3NQ,yes,here
B66 3NR,yes,here
B66 3NS,yes,here
B66 3NT,yes,here
B66 3NU,yes,here
B66 3NW,yes,here
B66 3PA,yes,here
B66 3PB,yes,here
B66 3PD,yes,here
B66 3PJ,yes,here
B66 3PN,yes,here
B66 3PQ,yes,here
B66 3PR,yes,here
B66 3PS,yes,here
B66 3PT,yes,here
B66 3PU,yes,here
B66 3PX,yes,here
B66 3PZ,yes,here
B66 3QB,yes,here
B66 3QD,yes,here
B66 3QE,yes,here
B66 3QH,yes,here
B66 3QL,yes,here
B66 3QP,yes,here
B66 3QR,yes,here
B66 3QT,yes,here
B66 3QU,yes,here
B66 3RA,yes,here
B66 3RE,yes,here
B66 3RF,yes,here
B66 3RP,yes,here
B66 3RQ,yes,here
B66 3RR,yes,here
B66 3RS,yes,here
B66 3RU,yes,here
B66 3RX,yes,here
B66 3RY,yes,here
B66 3RZ,yes,here
B66 3SA,yes,here
B66 3SB,yes,here
B66 3SE,yes,here
B66 3SF,yes,here
B66 3SG,yes,here
B66 3SH,yes,here
B66 3SL,yes,here
B66 3SQ,yes,here
B66 3SR,yes,here
B66 3SS,yes,here
B66 3SU,yes,here
B66 3SW,yes,here
B66 3SX,yes,here
B66 3SY,yes,here
B66 3SZ,yes,here
B66 3TA,yes,here
B66 3TB,yes,here
B66 3TD,yes,here
B66 3TE,yes,here
B66 3TF,yes,here
B66 3TG,yes,here
B66 3TH,yes,here
B66 3TJ,yes,here
B66 3TL,yes,here
B66 3TN,yes,here
B66 3TP,yes,here
B66 3TR,yes,here
B66 3TT,yes,here
B66 3TU,yes,here
B66 3TW,yes,here
B66 3TX,yes,here
B66 3TY,yes,here
B66 4AA,yes,here
B66 4AB,yes,here
B66 4AD,yes,here
B66 4AE,yes,here
B66 4AG,yes,here
B66 4AJ,yes,here
B66 4AN,yes,here
B66 4AP,yes,here
B66 4AQ,yes,here
B66 4AR,yes,here
B66 4AU,yes,here
B66 4AW,yes,here
B66 4AX,yes,here
B66 4AZ,yes,here
B66 4BE,yes,here
B66 4BH,yes,here
B66 4BJ,yes,here
B66 4BL,yes,here
B66 4BS,yes,here
B66 4BT,yes,here
B66 4BW,yes,here
B66 4BX,yes,here
B66 4DB,yes,here
B66 4DF,yes,here
B66 4DH,yes,here
B66 4DJ,yes,here
